game_pk,date,away_team,home_team,venue,day_night,away_runs,home_runs,total_runs,total_hr,weather_raw,wind_raw,season
662108,2022-07-13,Arizona Diamondbacks,San Francisco Giants,Oracle Park,night,0,13,13,4,"63 degrees, Partly Cloudy.","14 mph, Out To CF.",2022
661722,2022-07-12,Philadelphia Phillies,Toronto Blue Jays,Rogers Centre,night,3,4,7,1,"76 degrees, Clear.","18 mph, In From LF.",2022
662660,2022-07-13,Detroit Tigers,Kansas City Royals,Kauffman Stadium,night,7,5,12,0,"84 degrees, Clear.","8 mph, In From RF.",2022
661813,2022-07-13,Oakland Athletics,Texas Rangers,Globe Life Field,night,14,7,21,3,"75 degrees, Roof Closed.","0 mph, None.",2022
662531,2022-07-13,Seattle Mariners,Washington Nationals,Nationals Park,night,2,1,3,2,"90 degrees, Clear.","2 mph, Out To CF.",2022
663402,2022-07-13,Houston Astros,Los Angeles Angels,Angel Stadium,night,6,5,11,1,"73 degrees, Clear.","10 mph, Out To CF.",2022
661505,2022-07-13,New York Mets,Atlanta Braves,Truist Park,day,7,3,10,6,"84 degrees, Partly Cloudy.","6 mph, R To L.",2022
661269,2022-07-13,Cincinnati Reds,New York Yankees,Yankee Stadium,night,6,7,13,4,"86 degrees, Clear.","9 mph, Out To LF.",2022
662531,2022-07-12,Seattle Mariners,Washington Nationals,Nationals Park,night,2,1,3,2,"90 degrees, Clear.","2 mph, Out To CF.",2022
662517,2022-07-13,Seattle Mariners,Washington Nationals,Nationals Park,day,6,4,10,5,"86 degrees, Partly Cloudy.","3 mph, Out To RF.",2022
662984,2022-07-13,San Diego Padres,Colorado Rockies,Coors Field,night,3,5,8,1,"89 degrees, Partly Cloudy.","7 mph, In From CF.",2022
662659,2022-07-13,Detroit Tigers,Kansas City Royals,Kauffman Stadium,day,2,5,7,0,"90 degrees, Sunny.","4 mph, L To R.",2022
662107,2022-07-13,Arizona Diamondbacks,San Francisco Giants,Oracle Park,day,3,4,7,3,"65 degrees, Partly Cloudy.","13 mph, Out To CF.",2022
661721,2022-07-13,Philadelphia Phillies,Toronto Blue Jays,Rogers Centre,night,2,8,10,4,"70 degrees, Clear.","11 mph, In From CF.",2022
661376,2022-07-13,Pittsburgh Pirates,Miami Marlins,loanDepot park,night,4,5,9,0,"72 degrees, Roof Closed.","0 mph, None.",2022
661687,2022-07-13,Milwaukee Brewers,Minnesota Twins,Target Field,day,1,4,5,2,"73 degrees, Partly Cloudy.","8 mph, L To R.",2022
662895,2022-07-14,San Diego Padres,Colorado Rockies,Coors Field,night,6,10,16,2,"85 degrees, Overcast.","16 mph, L To R.",2022
661876,2022-07-13,Boston Red Sox,Tampa Bay Rays,Tropicana Field,night,1,4,5,1,"72 degrees, Dome.","0 mph, None.",2022
663123,2022-07-14,Detroit Tigers,Cleveland Guardians,Progressive Field,night,0,4,4,2,"75 degrees, Clear.","6 mph, In From CF.",2022
663230,2022-07-14,Baltimore Orioles,Chicago Cubs,Wrigley Field,night,7,1,8,0,"72 degrees, Clear.","12 mph, In From LF.",2022
662518,2022-07-14,Atlanta Braves,Washington Nationals,Nationals Park,night,5,4,9,5,"82 degrees, Partly Cloudy.","8 mph, L To R.",2022
661100,2022-07-14,San Diego Padres,Colorado Rockies,Coors Field,day,5,8,13,1,"96 degrees, Partly Cloudy.","7 mph, Out To LF.",2022
661375,2022-07-14,Pittsburgh Pirates,Miami Marlins,loanDepot park,day,2,3,5,0,"72 degrees, Roof Closed.","0 mph, None.",2022
663401,2022-07-14,Houston Astros,Los Angeles Angels,Angel Stadium,night,1,7,8,0,"77 degrees, Clear.","10 mph, Out To LF.",2022
662949,2022-07-13,Chicago White Sox,Cleveland Guardians,Progressive Field,night,2,1,3,0,"69 degrees, Partly Cloudy.","0 mph, Calm.",2022
661812,2022-07-14,Oakland Athletics,Texas Rangers,Globe Life Field,night,2,5,7,2,"75 degrees, Roof Closed.","0 mph, None.",2022
661875,2022-07-14,Boston Red Sox,Tampa Bay Rays,Tropicana Field,night,4,5,9,1,"72 degrees, Dome.","0 mph, None.",2022
661720,2022-07-14,Kansas City Royals,Toronto Blue Jays,Rogers Centre,night,3,1,4,3,"75 degrees, Clear.","4 mph, In From LF.",2022
661261,2022-07-14,Cincinnati Reds,New York Yankees,Yankee Stadium,night,7,6,13,3,"87 degrees, Partly Cloudy.","7 mph, Out To RF.",2022
661118,2022-07-13,Los Angeles Dodgers,St. Louis Cardinals,Busch Stadium,night,7,6,13,2,"90 degrees, Clear.","5 mph, In From LF.",2022
661117,2022-07-14,Los Angeles Dodgers,St. Louis Cardinals,Busch Stadium,night,4,0,4,1,"94 degrees, Partly Cloudy.","6 mph, In From RF.",2022
661101,2022-07-15,New York Mets,Chicago Cubs,Wrigley Field,night,8,0,8,2,"71 degrees, Clear.","7 mph, In From CF.",2022
661811,2022-07-15,Seattle Mariners,Texas Rangers,Globe Life Field,night,6,5,11,1,"75 degrees, Roof Closed.","0 mph, None.",2022
661675,2022-07-14,Chicago White Sox,Minnesota Twins,Target Field,night,12,2,14,4,"83 degrees, Partly Cloudy.","5 mph, R To L.",2022
661260,2022-07-15,Boston Red Sox,New York Yankees,Yankee Stadium,night,5,4,9,4,"80 degrees, Clear.","8 mph, R To L.",2022
661374,2022-07-15,Philadelphia Phillies,Miami Marlins,loanDepot park,night,2,1,3,0,"72 degrees, Dome.","0 mph, None.",2022
662109,2022-07-15,Milwaukee Brewers,San Francisco Giants,Oracle Park,night,3,2,5,0,"63 degrees, Clear.","18 mph, Varies.",2022
663386,2022-07-15,Houston Astros,Los Angeles Angels,Angel Stadium,night,3,2,5,0,"77 degrees, Partly Cloudy.","6 mph, Out To CF.",2022
